,Real,Predicted
2017-03-31,323941.0,320763.25
2017-04-30,326498.0,322336.66
2017-05-31,328577.0,324631.94
2017-06-30,329767.0,327391.66
2017-07-31,330217.0,329907.03
2017-08-31,329945.00000000006,331735.16
2017-09-30,330102.0,332645.94
2017-10-31,330595.0,332870.28
2017-11-30,332416.0,332799.66
2017-12-31,334269.0,333281.16
2018-01-31,336337.0,334443.9
2018-02-28,337710.00000000006,336534.9
2018-03-31,339150.0,338650.97
2018-04-30,340756.0,340689.7
2018-05-31,342913.0,342308.38
2018-06-30,345328.0,344101.25
2018-07-31,347833.0,346238.2
2018-08-31,350327.0,348865.0
2018-09-30,352518.0,351714.28
2018-10-31,354854.0,354601.06
2018-11-30,357045.0,357403.88
2018-12-31,359398.0,360041.9
2019-01-31,361130.0,362760.66
2019-02-28,363096.0,365371.25
2019-03-31,364895.0,367909.53
2019-04-30,367125.00000000006,370078.94
2019-05-31,368998.0,372413.53
2019-06-30,370842.99999999994,374749.5
2019-07-31,372736.0,377267.38
2019-08-31,374857.0,379530.28
2019-09-30,376905.0,381824.25
2019-10-31,378333.0,384233.75
2019-11-30,379000.0,386710.88
2019-12-31,379055.0,388815.7
2020-01-31,379066.0,390112.56
2020-02-29,378842.0,390621.44
